input,output
बाइबलमा उल्लेख गरिएका विश्वासी पुरुष र स्त्रीबारे अध्ययन गरेर हामी अहिले कस्तो लाभ उठाउन सक्छौं?,बाइबल्‌मा उल्लेख् गरिएका विश्वासी पुरुष् र स्त्रीबारे अध्ययन् गरेर हामी अहिले कस्तो लाभ् उठाउन सक्छौं?
परमेश्वरले तिनलाई “राजकुमारी” भन्नुभयो।,पर्‌मेश्वर्‌ले तिन्‌लाई “राज्‌कुमारी” भन्नुभयो।
सारा: “तिमी हेर्नमा सुन्दरी छौ”।,सारा: “तिमी हेर्नमा सुन्दरी छौ”।
हनोक: “तिनले परमेश्वरलाई खुसी पारेका थिए”।,हनोक्: “तिन्‌ले पर्‌मेश्वर्‌लाई खुसी पारेका थिए”।
“सपनाको अर्थ त परमेश्वरकै हातमा हुँदैन र?”,“सपनाको अर्थ त पर्‌मेश्वर्‌कै हात्‌मा हुँदैन र?”
हाम्रो विश्वव्यापी कार्यलाई अनुदान दिनुहोस्।,हाम्रो विश्वव्यापी कार्यलाई अनुदान् दिनुहोस्।
आफ्नो भाषा रोज्नुहोस्।,आफ्नो भाषा रोज्नुहोस्।
साङ्केतिक भाषा मात्र देखाउने वेबसाइट उपलब्ध छ ।,साङ्केतिक् भाषा मात्र देखाउने वेब्‌साइट् उपलब्ध् छ ।
पसिनाको दुर्गन्ध आउने समस्या छ ?,पसिनाको दुर्गन्ध आउने समस्या छ ?
दुई सय महिला बेचेका सुनबहादुर साधारण तारेखमा रिहा भयो!,दुई सय् महिला बेचेका सुन्‌बहादुर् साधारण् तारेख्‌मा रिहा भयो!
मोदीले नेपालबारे महत्वपूर्ण घोषणा गर्ने संकेतो छ ।,मोदीले नेपाल्‌बारे महत्वपूर्ण घोषणा गर्ने संकेतो छ ।
नवराज सिलवालको बारेमा एमालेले के भन्यो ?,नवराज् सिल्‌वाल्‌को बारेमा एमालेले के भन्यो ?
हामीसित सम्पर्क नगर्नुहोस्,हामीसित सम्पर्क नगर्नुहोस्
के तपाईंको कायापलट भएको छ?,के तपाईंको कायापलट् भएको छ?
सही निर्णय गर्नुहोस्।,सही निर्णय् गर्नुहोस्।
“तपाईंका साक्षीवचनहरू मैले सधैंभरि आफ्नो हक मानिलिएको छु।,“तपाईंका साक्षीवचन्‌हरू मैले सधैंभरि आफ्नो हक् मानिलिएको छु।
तपाईं कसरी जवाफ दिनुहुन्छ?,तपाईं कसरी जवाफ् दिनुहुन्छ?
यहोवाको साक्षीवचन पालन गर्न हामी किन आनन्दित हुनुपर्छ?,यहोवाको साक्षीवचन् पालन् गर्न हामी किन आनन्दित हुनुपर्छ?
यहोवामाथिको भरोसा बलियो बनाउन हामी के गर्न सक्छौं?,यहोवामाथिको भरोसा बलियो बनाउन हामी के गर्न सक्छौं?
परमेश्वरको सेवामा किन व्यस्त हुनुपर्छ?,पर्‌मेश्वर्‌को सेवामा किन व्यस्त हुनुपर्छ?
सल्लाहप्रति मानिसहरूले के-कस्ता प्रतिक्रिया देखाउँछन्,सल्लाह्‌प्रति मानिस्‌हरूले के-कस्ता प्रतिक्रिया देखाउँछन्
घमन्डी व्यक्तिले सल्लाहप्रति कस्तो प्रतिक्रिया देखाउँछ?,घमन्डी व्यक्तिले सल्लाहप्रति कस्तो प्रतिक्रिया देखाउँछ?
साँचो ख्रीष्टियनहरू बाइबलआधारित सल्लाहको किन मोल गर्छन्,साँचो ख्रीष्टियन्‌हरू बाइबल्‌आधारित् सल्लाह्‌को किन मोल् गर्छन्
साँचो ख्रीष्टियनहरू भने उपयोगी सल्लाहको मोल गर्छन्,साँचो ख्रीष्टियन्‌हरू भने उपयोगी सल्लाह्‌को मोल् गर्छन्
सल्लाह बाइबलआधारित छ भने त झनै त्यसो गर्छन्,सल्लाह् बाइबल्‌आधारित् छ भने त झनै त्यसो गर्छन्
यहोवाको साक्षीवचनले हामीलाई गलत आचरणको खतरा बुझ्न मदत गर्छ।,यहोवाको साक्षीवचन्‌ले हामीलाई गलत् आचरण्‌को खतरा बुझ्न मदत् गर्छ।
साथै परमेश्वरका आज्ञाहरू पालन गरेकोले हाम्रो “हृदयमा आनन्द” हुन्छ।,साथै पर्‌मेश्वर्‌का आज्ञाहरू पालन् गरेकोले हाम्रो “हृदय्‌मा आनन्द” हुन्छ।
भजनरचयिताको कस्तो मनोभाव हामीले पनि अनुकरण गर्नुपर्छ?,भजन्‌रचयिताको कस्तो मनोभाव् हामीले पनि अनुकरण् गर्नुपर्छ?
प्रार्थना गरेर आफ्नो भरोसा बलियो बनाउनुहोस्।,प्रार्थना गरेर आफ्नो भरोसा बलियो बनाउनुहोस्।
दाऊदको जीवनमा कहिल्यै परिवर्तन नभएको एउटा कुरा के हो?,दाऊद्‌को जीवन्‌मा कहिल्यै परिवर्तन् नभएको एउटा कुरा के हो?
राजा दाऊदको जीवनमा थुप्रै उतारचढाव आए तर एउटा कुरा भने कहिल्यै परिवर्तन भएन।,राजा दाऊद्‌को जीवनमा थुप्रै उतार्‌चढाव् आए तर एउटा कुरा भने कहिल्यै परिवर्तन् भएन। 
‘खासमा संगितको कुनै भाषा हुँदैन ।,‘खास्‌मा संगित्‌को कुनै भाषा हुँदैन ।
सबै शान्तीप्रेमीहरु हौं हामी ।’,सबै शान्तीप्रेमीहरु हौं हामी ।’
उनी आफ्नो आईप्याड तिर आँखा लम्काउँदै भनेकि थिईन् ।,उनी आफ्नो आईप्याड् तिर आँखा लम्काउँदै भनेकि थिईन् ।
सबै सँगितकारहरु शान्ती प्रेमीहरु हुन ।,सबै सँगित्‌कार्‌हरु शान्ती प्रेमीहरु हुन् ।
तर निकै गम्भिर भएर उत्तर दिँदिरहिछन् उनि ।,तर निकै गम्भिर् भएर उत्तर् दिँदिरहिछन् उनि ।
‘जब हामी मुगल एरा भित्र थियौं हामी सबै एउटै ठाउँभित्र थियौं ।,‘जब हामी मुगल् एरा भित्र थियौं हामी सबै एउटै ठाउँभित्र थियौं ।
त्यसपछि हामी छुट्टियौं ।,त्यस्‌पछि हामी छुट्टियौं ।
मलाई के लाग्छ भने जब परिवार बढ्दै जान्छ त्यसपछि भाईहरुको बिबाह हुन्छ ।,मलाई के लाग्छ भने जब परिवार् बढ्दै जान्छ त्यसपछि भाईहरुको बिबाह् हुन्छ ।
त्यसपछि कोठाहरु छुट्याईन्छ ।,त्यस्‌पछि कोठाहरु छुट्याईन्छ ।
त्यस्तै भएको मात्रै हो तर हा।,त्यस्तै भएको मात्रै हो तर हा।
मी अन्तर्यमा एकै किसिमका हौ ।,मी अन्तर्यमा एकै किसिम्‌का हौ ।
किनकी आउने जाने ढोका त खुल्लै छ नि ।’,किनकी आउने जाने ढोका त खुल्लै छ नि ।’
लगभग नरोकिईकन भनेकी थिईन उनले ।,लग्‌भग् नरोकिईकन भनेकी थिईन् उन्‌ले ।
पछिल्लो समय यी दुई देशहरु एक आपसमा बिभिन्न किसिमका बैमनस्यता चलिनै रहेका छन ।,पछिल्लो समय् यी दुई देश्‌हरु एक् आपस्‌मा बिभिन्न किसिम्‌का बैमनस्यता चलिनै रहेका छन्।
कला क्षेत्रमा त्यस्को प्रतिछायाँ भारतीय सिनेमाहरुमा हामीले देखिनै रहेका हुन्छौं ।,कला क्षेत्रमा त्यस्को प्रतिछायाँ भारतीय सिनेमाहरुमा हामीले देखिनै रहेका हुन्छौं ।
‘संगित र संस्कृती सबैभन्दा शक्तिशाली हुन्छ ।,‘संगित् र संस्कृती सबैभन्दा शक्तिशाली हुन्छ ।
किनकी त्यहाँ प्रेम हुन्छ ।,किनकी त्यहाँ प्रेम् हुन्छ ।
यसैको माध्यमबाट हामी यस किसिमका समस्या सजिलै हल गर्न सक्छौं ।’,यसैको माध्यम्‌बाट हामी यस् किसिम्‌का समस्या सजिलै हल् गर्न सक्छौं ।’
उनले निकै आत्मबिश्वासका साथ भनेकी थिईन् ।,उन्‌ले निकै आत्मबिश्वास्‌का साथ् भनेकी थिईन् ।
सोही भाब भङ्गीमा उनले स्टेजमा गाईन।,सोही भाब् भङ्गीमा उन्‌ले स्टेज्‌मा गाईन्।
प्रतिकृया दिनुहोस।,प्रतिकृया दिनुहोस्।
कार्यक्रममा विभिन्न राजनीतिक दल रहेको थियो ।,कार्यक्रम्‌मा विभिन्न राज्‌नीतिक् दल् रहेको थियो ।
भुइँकटहरले यती धेरै फाइदा ! यसका फाइदा के–के हो नि ?,भुइँकटहर्‌ले यती धेरै फाइदा ! यस्‌का फाइदा के–के हो नि ?
स्वस्थ्य रहने मन छ ?,स्वस्थ्य रहने मन् छ ?
हामी स्वस्थ्य बन्न चाहन्छौं तर साना साना नियममा पनि बस्दैनौं ।,हामी स्वस्थ्य बन्न चाहन्छौं तर साना साना नियम्‌मा पनि बस्दैनौं ।
सप्तरीको कञ्चनरुप नगरपालिका क्षेत्रलाई विपद् क्षेत्र घोषणा गरिएको छ ।,सप्तरीको कञ्चन्‌रुप् नगर्‌पालिका क्षेत्रलाई विपद् क्षेत्र घोष्‌णा गरिएको छ ।
म सबै प्रकारका घटनाको अनुसन्धान गर्न जान्नँ ।,म सबै प्रकार्‌का घटनाको अनुसन्धान् गर्न जान्नँ ।
विषेश प्रकारका घटनामा म आफैँ जान्छु ।,विषेश् प्रकार्‌का घटनामा म आफैँ जान्छु ।
उनले भने समाजमा बालबिबाहको अवस्था डर लाग्दो छ।,उन्‌ले भने समाज्‌मा बाल्‌बिबाह्‌को अवस्था डर् लाग्दो छ।
हैन भने जति नै न्युनिकरणका कुरा गरे पनि यस्तै हो ।,हैन भने जति नै न्युनिकरण्‌का कुरा गरे पनि यस्तै हो ।
यस्तो बिहेलाई अनमेल बिबाह पनि भनिन्छ ।,यस्तो बिहेलाई अन्‌मेल् बिबाह् पनि भनिन्छ ।
सानो उमेरमा हुने विवाहका दुष्परिणामहरूले समाज आक्रान्त छ ।,सानो उमेर्‌मा हुने विवाह्‌का दुष्परिणाम्‌हरूले समाज् आक्रान्त छ ।
यसमा सरकारी आर्थिक नीतिको कुनै कमजोरीले भूमिका खेलेको त होइन नि ?,यस्‌मा सर्‌कारी आर्थिक् नीतिको कुनै कम्‌जोरीले भूमिका खेलेको त होइन नि ?
होइन–होइन !,होइन–होइन !
यसमा सरकारको कमजोरी केही छैन ।,यस्‌मा सर्‌कार्‌को कम्‌जोरी केही छैन ।
बैंकहरूबाट रकम व्यक्ति–व्यक्तिमा गयो।,बैंक्‌हरूबाट रकम् व्यक्ति–व्यक्तिमा गयो।
"त्यो आउँछ, आउँछ भन्ने आशा गरौँ ।","त्यो आउँछ, आउँछ भन्ने आशा गरौँ ।"
राज्यले पर्याप्त मात्रामा विकास–निर्माणको काममा रकम खर्च गर्न सकेको छैन ।,राज्यले पर्याप्त मात्रामा विकास्–निर्माण्‌को काम्‌मा रकम् खर्च गर्न सकेको छैन ।
"सरकारसँग पैसा त छ, तर त्यो एउटा ‘बट्टा’मा गएर थन्किएको छ ।","सरकार्‌सँग पैसा त छ, तर त्यो एउटा ‘बट्टा’मा गएर थन्किएको छ ।"
"सर्कुलेसनमा आउनुपर्ने थियो, आउन सकिरहेको छैन ।","सर्कुलेसन्‌मा आउनुपर्ने थियो, आउन सकिरहेको छैन ।"
यसर्थ अहिले रकमको अभावजस्तो देखिएको हो ।,यसर्थ अहिले रकम्‌को अभाव्‌जस्तो देखिएको हो ।
बैंकले अनुत्पादक क्षेत्रमा लगानी गरेकैले यस्तो भएको भन्न त मिल्छ होइन ?,बैंक्‌ले अनुत्पादक् क्षेत्रमा लगानी गरेकैले यस्तो भएको भन्न त मिल्छ होइन ?
त्यसो भए अहिलेको अवस्था डराउनुपर्ने प्रकारको होइन त ?,त्यसो भए अहिलेको अवस्था डराउनुपर्ने प्रकार्‌को होइन त ?
अहिले मात्र नभई बेला–बेलामा यसरी नगद अभावको अवस्था आउने गरेको छ।,अहिले मात्र नभई बेला–बेलामा यसरी नगद् अभाव्‌को अवस्था आउने गरेको छ।
लगानी र आम्दानीको ‘मिसम्याच’ (असमानता) नै यसको मूल कारण हो ।,लगानी र आम्दानीको ‘मिस्‌म्याच्’ (असमान्‌ता) नै यस्‌को मूल् कारण् हो ।
यो समस्याबाट पार पाउन सरकारले के–कस्तो नीति लिनुपर्ने हो त ?,यो समस्याबाट पार् पाउन सर्‌कार्‌ले के–कस्तो नीति लिनुपर्ने हो त ?
अनुमान गर्नेबाहेक अर्को उपाय रहेन ।,अनुमान् गर्नेबाहेक् अर्को उपाय् रहेन ।
केही पैसा सहकारीहरूमा पनि थन्किएर बसेको छ ।,केही पैसा सहकारीहरूमा पनि थन्किएर बसेको छ ।
यसको लेखाजोखा पारदर्शी किसिमले गरिएको छैन ।,यस्‌को लेखाजोखा पार्‌दर्शी किसिम्‌ले गरिएको छैन ।
नगद अभावले देशको अर्थतन्त्रमा पार्न सक्ने नकारात्मक असर खास कस्तो हो ?,नगद् अभाव्‌ले देश्‌को अर्थतन्त्रमा पार्न सक्ने नकारात्मक् असर् खास् कस्तो हो ?
नेपालको विद्यमान बैंकिङ समस्याको समाधान के हुन सक्ला ?,नेपाल्‌को विद्यमान् बैंकिङ समस्याको समाधान् के हुन सक्ला ?
फेसबुकमा तपाईको प्रतिक्रिया साझा गर्नुहोस्।,फेस्‌बुक्‌मा तपाईको प्रतिक्रिया साझा गर्नुहोस्।
‘गोप्य’ र ‘अतिगोप्य’ छाप गैरकानुनी हो।,‘गोप्य्’ र ‘अतिगोप्य्’ छाप् गैर्‌कानुनी हो।
बीमा समूह र लघुवित्त समूहले शेयर बजारलाई उकालो लाग्न टेवा दिएको हो ।,बीमा समूह र लघुवित्त समूहले शेयर् बजार्‌लाई उकालो लाग्न टेवा दिएको हो ।
यस दिन ‘अन्य’ समूह बाहेक कारोबारमा आएका सबै समूहहरुको परिसूचक बढेको छ ।,यस् दिन् ‘अन्य’ समूह बाहेक् कारोबार्‌मा आएका सबै समूहहरुको परिसूचक् बढेको छ ।
यस दिन कम्पनीको शेयर मूल्य बढेको छ ।,यस् दिन् कम्पनीको शेयर् मूल्य बढेको छ ।
यसले बजारमा शेयरको खरीद विक्री चाप सामान्य रहेको देखाउँछ ।,यस्‌ले बजार्‌मा शेयर्‌को खरीद् विक्री चाप् सामान्य रहेको देखाउँछ ।
यसले बजार बुलिश प्रवृत्तिमा रहेको देखाउँछ ।,यस्‌ले बजार् बुलिश् प्रवृत्तिमा रहेको देखाउँछ ।
सम्बन्धित शीर्षकहरु छानेर पढ्नुहोस्।,सम्बन्धित् शीर्षक्‌हरु छानेर पढ्नुहोस्।
हामीलाई सम्पर्क गर्नुहोस ।,हामीलाई सम्पर्क गर्नुहोस ।
सबैले मन पराइदिनु हुन्छ भन्ने अपेक्षा गरेकी छु।,सबैले मन् पराइदिनु हुन्छ भन्ने अपेक्षा गरेकी छु।
"गायिकाले भनिन्, “एक/दुई महिनाभित्रै गीत बजारमा आउँछ ।","गायिकाले भनिन्, “एक/दुई महिनाभित्रै गीत् बजार्‌मा आउँछ ।"
साथी यो स्वर्गको टुक्रा होकी हेर्दा यस्तो लाग्छ ।,साथी यो स्वर्गको टुक्रा होकी हेर्दा यस्तो लाग्छ ।
"दृष्टिविहीनका लागि भवन बनाउँदैछ, सहयोगको अपेक्षा गरेकी छु।","दृष्टिविहीन्‌का लागि भवन् बनाउँदैछ, सहयोग्‌को अपेक्षा गरेकी छु।"
खेलामा म्यान अफ द म्याचको उपाधि विमलले पाए ।,खेलामा म्यान् अफ् द म्याच्‌को उपाधि विमल्‌ले पाए ।
राष्ट्रिय समाचार समिति नेपालको सरकारी समाचार संस्था हो।,राष्ट्रिय समाचार् समिति नेपाल्‌को सर्‌कारी समाचार् संस्था हो।
मनोजबाट ‘हत्या गरिएका’ आफन्तहरु इन्काउन्टरबारे के भन्छन् ?,मनोज्‌बाट ‘हत्या गरिएका’ आफन्तहरु इन्काउन्टर्‌बारे के भन्छन् ?
कमेन्ट गर्नेहोस्।,कमेन्ट्‌ गर्नेहोस्।
तपाईको ईमेल गोप्य राखिनेछ।,तपाईको ईमेल् गोप्य राखिनेछ।
पोष्ट गर्नुहोस्।,पोष्ट् गर्नुहोस्।
आमा सुरक्षा कार्यक्रमलाई उच्च प्राथमिकतामा राखेका छौं ।,आमा सुरक्षा कार्यक्रम्‌लाई उच्च प्राथमिक्‌तामा राखेका छौं ।
किरण चेम्जोङ माल्दिभ्समा उत्कृष्ट खेलाडीको मनोनयनमा परे।,किरण् चेम्जोङ् माल्दिभ्स्‌मा उत्कृष्ट खेलाडीको मनोनयन्‌मा परे।
तपाईको ईमेल गोप्य राखिनेछ।,तपाईको ईमेल् गोप्य राखिनेछ।
शेयर लगानीकर्ताको जायज माग सम्बोधन हुन्छ ।,शेयर् लगानीकर्ताको जायज् माग् सम्बोधन् हुन्छ ।
हाम्रो बारेमा अन्य समाचार पढ्नुहोस्।,हाम्रो बारेमा अन्य समाचार् पढ्नुहोस्।
"पावलले भने, “दाज्यू-भाइहरू, मलाई थाहा थिएन कि उनी प्रधान पूजाहारी हुन्।","पावल्‌ले भने, “दाज्यू-भाइहरू, मलाई थाहा थिएन कि उनी प्रधान् पूजाहारी हुन्।"
सभामा कतिपय मानिसहरू सदुकिहरू थिए र अन्य फरिसीहरू थिए।,सभामा कतिपय् मानिस्‌हरू सदुकिहरू थिए र अन्य फरिसीहरू थिए।
यो सोचेर पावलले एउटा विचार निकाले।,यो सोचेर पावल्‌ले एउटा विचार् निकाले।
"उनी महा-सभाप्रति चिच्याए, “मेरा दाज्यू-भाइहरू, म फरसीको छोरो फरसी हुँ।","उनी महा-सभाप्रति चिच्याए, “मेरा दाज्यू-भाइहरू, म फरसीको छोरो फरसी हुँ।"
म यहाँ मुद्दामा छु किनभने म विश्वास गर्छु मानिसहरू मृत्युबाट बौरी उठ्ने छन्!”,म यहाँ मुद्दामा छु किनभने म विश्वास् गर्छु मानिस्‌हरू मृत्युबाट बौरी उठ्ने छन्!”
सभा दुइ दलमा विभाजन भयो।,सभा दुइ दल्‌मा विभाजन् भयो।
तर फरिसीहरू यी सबैमा विश्वास गर्छन्।,तर फरिसीहरू यी सबैमा विश्वास् गर्छन्।
ती सबै जना यहूदीहरू जोड-जोडले चिच्याउन थाले।,ती सबै जना यहूदीहरू जोड्-जोड्‌ले चिच्याउन थाले।
तर्क लड़ाईँमा बद्लियो।,तर्क लड़ाईँमा बद्लियो।
यहूदीहरूले पावललाई टुक्रा-टुक्रा पार्नेछन् भनेर सेनापति डराए।,यहूदीहरूले पावल्‌लाई टुक्रा-टुक्रा पार्नेछन् भनेर सेनापति डराए।
तर पावलको भानिजले यो षड़यन्त्र थाहा पाए।,तर पावल्‌को भानिज्‌ले यो षड़यन्त्र थाहा पाए।
उनी सैन्य भवनमा गए र पावललाई सुनाईदिए।,उनी सैन्य भवन्‌मा गए र पावल्‌लाई सुनाईदिए।
यसकारण सेना अधिकारीले त्यस जवान मानिसलाई सेनापतिकहाँ लगे।,यस्‌कारण् सेना अधिकारीले त्यस् जवान् मानिस्‌लाई सेनापतिकहाँ लगे।
तर तिनीहरूलाई विश्वास नगर्नुहोस्।,तर तिनीहरूलाई विश्वास् नगर्नुहोस्।
त्यहाँ चालीस जना भन्दा धेरै मानिसहरू लुकेर पावललाई मार्न बसेकाछन्।,त्यहाँ चालीस् जना भन्दा धेरै मानिस्‌हरू लुकेर पावल्‌लाई मार्न बसेकाछन्।
"तिनीहरूले उनलाई नमारे सम्म न पिउने, न खाने कसम खाएका छन्!","तिनीहरूले उन्‌लाई नमारे सम्म न पिउने, न खाने कसम् खाएका छन्!"
अहिले तिनीहरू तपाईंको सहमतिको निम्ति पर्खिरहेका छन्।”,अहिले तिनीहरू तपाईंको सहमतिको निम्ति पर्खिरहेका छन्।”
सेनापतिले त्यस जवान मानिसलाई यसो भनेर पठाईदिए।,सेनापतिले त्यस् जवान् मानिस्‌लाई यसो भनेर पठाईदिए।
"“कसैलाई पनि तिमीले यसो भने, भनेर नभन्नु।”","“कसैलाई पनि तिमीले यसो भने, भनेर नभन्नु।”"
त्यसपछि सेनापलिले दुइ सैन्य अधिकारीहरूलाई डाके।,त्यस्‌पछि सेनापलिले दुइ सैन्य अधिकारीहरूलाई डाके।
तिनीहरू राती हिडन तयार हुनु पर्छ।,तिनीहरू राती हिडन तयार् हुनु पर्छ।
सेनापतिले यस्तो एउटा चिट्ठी पनि उनलाई लेखे।,सेनापतिले यस्तो एउटा चिट्ठी पनि उन्‌लाई लेखे।
"राज्यपालले चिट्ठी पढे पावललाई सोधे, “तिमी कुन देशका हौं?”","राज्यपाल्‌ले चिट्ठी पढे पावल्‌लाई सोधे, “तिमी कुन् देश् का हौं?”"
राज्यपालले पावल सिलिसियाका हुन भनेर जाने।,राज्यपाल्‌ले पावल् सिलिसियाका हुन् भनेर जाने।
अनि त्यसपछि उनले पावललाई हेरोदको राजमहलमा सुरक्षित राख्न आदेश दिए।,अनि त्यस्‌पछि उन्‌ले पावल्‌लाई हेरोद्‌को राज्‌महल्‌मा सुरक्षित् राख्न आदेश् दिए।
किन जग्गा कित्ताकाटको प्रतिबन्ध फुकुवा गर्दै छ सरकार ?,किन जग्गा कित्ताकाट्को प्रतिबन्ध फुकुवा गर्दै छ सर्‌कार् ?
स्रष्टा र सिर्जना पूरा पढ्नुहोस्।,स्रष्टा र सिर्जना पूरा पढ्नुहोस्।
प्रज्ञा–प्रतिष्ठानमा जाने र काम गर्ने इच्छा अलि पहिल्यैदेखि थियो ।,प्रज्ञा–प्रतिष्ठान्‌मा जाने र काम् गर्ने इच्छा अलि पहिल्यैदेखि थियो ।
"सायद भाषा, साहित्य तथा वाङ्मयका अन्य क्षेत्रमा काम गर्ने सबैमा यस्तो इच्छा हुन्छ ।","सायद् भाषा, साहित्य तथा वाङ्मयका अन्य क्षेत्रमा काम् गर्ने सबैमा यस्तो इच्छा हुन्छ ।"
आयल निगमको कार्यकारीमा क–कसको नजर छ?,आयल् निगम्‌को कार्यकारीमा क–कस्‌को नजर् छ?
उनीहरूलाई खान र बाँच्नकै लागि समस्या हुन्छ ।’,उनीहरूलाई खान र बाँच्नकै लागि समस्या हुन्छ ।’
आइसिआईले अन्तर्वार्ता लिँदा ती नागरिकसँग केही कागजात हुँदैन ।,आइसिआईले अन्तर्वार्ता लिँदा ती नागरिक्‌सँग केही काग्‌जात् हुँदैन ।
‘उसले नेपाली हुँ भनेको भरमा आइसिआईले सानो नोट दिएर पठाएको हुन्छ ।,‘उस्‌ले नेपाली हुँ भनेको भर्‌मा आइसिआईले सानो नोट दिएर पठाएको हुन्छ ।
उनीहरूले काम गर्न पाउँदैनन् ।,उनीहरूले काम् गर्न पाउँदैनन् ।
पासपोर्ट आइपुग्न तीन-चार महिना लाग्छ ।,पासपोर्ट् आइपुग्न तीन्-चार् महिना लाग्छ ।
त्यसपछि मात्रै उनीहरूले ‘वर्क परमिट’ पाउँछन् ।,त्यस्‌पछि मात्रै उनीहरूले ‘वर्क् परमिट्’ पाउँछन् ।
फेसबुकले आफ्नो छुट्टै भिडियो स्ट्रिमिङ्ग सर्भिस सार्वजनिक गर्ने भएको छ ।,फेस्‌बुक्‌ले आफ्नो छुट्टै भिडियो स्ट्रिमिङ्ग् सर्भिस् सार्वजनिक् गर्ने भएको छ ।
यो सेवा अमेरिकी प्रयोगकर्ताका लागि एक वर्षदेखि उपलब्ध हुँदै आएको छ ।,यो सेवा अमेरिकी प्रयोग्‌कर्ताका लागि एक् वर्षदेखि उपलब्ध हुँदै आएको छ ।
यो नयाँ सेवामा प्रयोगकर्ताले आफूलाई मनपर्ने शो छनोट गर्न सक्छन् ।,यो नयाँ सेवामा प्रयोग्‌कर्ताले आफूलाई मन्‌पर्ने शो छनोट् गर्न सक्छन् ।
जसमा चर्चित ब्राण्डदेखि नयाँ खेलाडिसम्मको शो देख्न सकिनेछ ।,जस्‌मा चर्चित् ब्राण्ड्‌देखि नयाँ खेलाडिसम्मको शो देख्न सकिनेछ ।
यसका साथै न्यूज फिडमा सेभ गरिएका स–साना भिडियोहरु पनि हेर्न सकिन्छ ।,यस्‌का साथै न्यूज् फिड्‌मा सेभ् गरिएका स–साना भिडियोहरु पनि हेर्न सकिन्छ ।
धेरै पटक हेरिएको भिडियोमा युट्युबमा जस्तै विज्ञापन पनि देखिनेछ ।,धेरै पटक् हेरिएको भिडियोमा युट्युब्‌मा जस्तै विज्ञापन् पनि देखिनेछ ।
भिडियोबाट हुने फाइदा भिडियो अपलोड गर्ने प्रयोगकर्ता र फेसबुकले बाँड्नेछन् ।,भिडियोबाट हुने फाइदा भिडियो अप्‌लोड् गर्ने प्रयोग्‌कर्ता र फेस्‌बुक्‌ले बाँड्नेछन् ।
यस कारण केही प्रयोगकर्ताले उक्त पेज देख्न पाएनन् ।,यस् कारण् केही प्रयोग्‌कर्ताले उक्त पेज् देख्न पाएनन् ।
प्रयोगकर्ताले कुनै कुनै शोहरु धेरैपटक पनि हेर्ने गरेका छन् ।,प्रयोग्‌कर्ताले कुनै कुनै शोहरु धेरैपटक् पनि हेर्ने गरेका छन् ।
उनले टक शो ‘रेड टेबल टक’ उत्पादनमा काम गरिरहेका छन् ।,उन्‌ले टक् शो ‘रेड् टेबल् टक्’ उत्पादन्‌मा काम् गरिरहेका छन् ।
उनी ‘सरी फर योर लस’ मा देखा पर्नेछिन् ।,उनी ‘सरी फर् योर् लस्’ मा देखा पर्नेछिन् ।
यो नाटकको अर्को महिना प्रिमियर गरिनेछ ।,यो नाटक्‌को अर्को महिना प्रिमियर् गरिनेछ ।
यो पनि पढ्नुहोस्।,यो पनि पढ्नुहोस्।
सुनको भाउ घट्यो।,सुन्‌को भाउ घट्यो।
महिला विश्वकपमा इंग्ल्याण्डले बंगलादेशलाई हरायो।,महिला विश्वकप्‌मा इंग्ल्याण्ड्‌ले बंगलादेश्‌लाई हरायो।
सात ठाउँमा पहिरो गएर दरखान जाने अलपत्रमा परे।,सात् ठाउँमा पहिरो गएर दर्‌खान् जाने अलपत्रमा परे।
मंगलबार बिहानदेखि अवरुद्ध भएको छ ।,मंगल्‌बार् बिहान्‌देखि अवरुद्ध् भएको छ ।
पहिरो खसेपछि यातायात सेवा अवरुद्ध भएको छ ।,पहिरो खसेपछि यातायात् सेवा अवरुद्ध् भएको छ ।
पानी परिरहेकाले पहिरो पन्छाउन नसकिएको प्रहरीले जनाएको छ ।,पानी परिरहेकाले पहिरो पन्छाउन नसकिएको प्रहरीले जनाएको छ ।
सडक अवरुद्धसँगै यात्रु अलपत्र परेका छन् ।,सडक् अवरुद्धसँगै यात्रु अलपत्र परेका छन् ।
पहिरो हटाएर बाटो सञ्चालन हुन मंगलबार दिनभर लाग्ने जनाइएको छ ।,पहिरो हटाएर बाटो सञ्चालन् हुन मंगल्‌बार् दिन्‌भर् लाग्ने जनाइएको छ ।
त्यत्तिबेला धेरै पढे लेखेका मानिसहरु पनि थिएनन् ।,त्यत्तिबेला धेरै पढे लेखेका मानिस्‌हरु पनि थिएनन् ।
तर मैले केही रोजगार पाईंन ।,तर मैले केही रोज्‌गार् पाईंन ।
कामका लागि भारत जाने बिगतकै परिपाटीलाई मैले पनि अँगालें ।,काम्‌का लागि भारत् जाने बिगत्‌कै परिपाटीलाई मैले पनि अँगालें ।
भारतमा काम गरेको केही रकम घरमा पठाउने गर्थे ।,भारत्‌मा काम् गरेको केही रकम् घर्‌मा पठाउने गर्थे ।
मैले त्यही बेला रक्सी पिउन पनि सिकें ।,मैले त्यही बेला रक्सी पिउन पनि सिकें ।
